"","TargetID","adjp","coef","TargetID1","Overlap","Significance"
"1","cg13869341",0.734049478099076,-0.350282239175269,"cg13869341","Non-overlapped","non-sig"
"2","cg14008030",0.584156162560549,-0.101328824867545,"cg14008030","Non-overlapped","non-sig"
"3","cg12045430",0.995718722603492,0.0058020353460843,"cg12045430","Non-overlapped","non-sig"
"4","cg20826792",0.896665311696399,0.0823413629144223,"cg20826792","Non-overlapped","non-sig"
"5","cg00381604",0.910262983562965,0.0570185666918222,"cg00381604","Non-overlapped","non-sig"
"6","cg20253340",0.800970406382174,-0.139445061656166,"cg20253340","Non-overlapped","non-sig"
"7","cg21870274",0.448160144279947,0.415366787034051,"cg21870274","Non-overlapped","non-sig"
"8","cg03130891",0.350561162205607,0.550696917265695,"cg03130891","Non-overlapped","non-sig"
"9","cg24335620",0.636048839391971,-0.282853016030505,"cg24335620","Non-overlapped","non-sig"
"10","cg16162899",0.882767450995667,0.186464003416306,"cg16162899","Non-overlapped","non-sig"
"11","cg17149495",0.789312330542198,0.317341350312046,"cg17149495","Non-overlapped","non-sig"
"12","cg22802167",0.945831960193897,0.0682500580509804,"cg22802167","Non-overlapped","non-sig"
"13","cg24669183",0.972637365845395,-0.030692661402938,"cg24669183","Non-overlapped","non-sig"
"14","cg17308840",0.885576188828238,0.0480780521692174,"cg17308840","Non-overlapped","non-sig"
"15","cg17866181",0.993006525410939,0.0131548964054874,"cg17866181","Non-overlapped","non-sig"
"16","cg08477687",0.733997628950313,0.250364890606838,"cg08477687","Non-overlapped","non-sig"
"17","cg00645010",0.924410751039186,0.0871757437708247,"cg00645010","Non-overlapped","non-sig"
"18","cg15394630",0.836529338016818,0.128096933583767,"cg15394630","Non-overlapped","non-sig"
"19","cg23917638",0.641101612244786,0.280241577515736,"cg23917638","Non-overlapped","non-sig"
"20","cg18024856",0.959002336111421,0.0935992962677592,"cg18024856","Non-overlapped","non-sig"
"21","cg18761878",0.727693597496395,0.133121319541204,"cg18761878","Non-overlapped","non-sig"
"22","cg27534567",0.907975058785104,0.149737051965069,"cg27534567","Non-overlapped","non-sig"
"23","cg21996134",0.914405696437828,-0.0396458622468023,"cg21996134","Non-overlapped","non-sig"
"24","cg07264491",0.937088446976867,0.0266067389049755,"cg07264491","Non-overlapped","non-sig"
"25","cg15560884",0.552260054304765,0.122510667346376,"cg15560884","Non-overlapped","non-sig"
"26","cg10037654",0.933558004488533,-0.0423776799364984,"cg10037654","Non-overlapped","non-sig"
"27","cg14057946",0.875921962275456,0.0516993854963255,"cg14057946","Non-overlapped","non-sig"
"28","cg11422233",0.646103324153663,-0.158992070152161,"cg11422233","Non-overlapped","non-sig"
"29","cg16047670",0.864850144533597,-0.212942474633546,"cg16047670","Non-overlapped","non-sig"
"30","cg18263059",0.909496646385811,-0.192431708431136,"cg18263059","Non-overlapped","non-sig"
"31","cg01014490",0.933216353386874,-0.0796832824358645,"cg01014490","Non-overlapped","non-sig"
"32","cg04231937",0.952741128847008,-0.0734642679699753,"cg04231937","Non-overlapped","non-sig"
"33","cg04496485",0.947440730654512,-0.0505733848161687,"cg04496485","Non-overlapped","non-sig"
"34","cg17505339",0.880272174814236,-0.0780334481523022,"cg17505339","Non-overlapped","non-sig"
"35","cg09989996",0.850061758334537,0.0420705475265335,"cg09989996","Non-overlapped","non-sig"
"36","cg11954957",0.90966509724025,0.0675582286857757,"cg11954957","Non-overlapped","non-sig"
"37","cg01068023",0.978607005401603,0.028099145914888,"cg01068023","Non-overlapped","non-sig"
"38","cg08167039",0.836529338016818,-0.117799953999245,"cg08167039","Non-overlapped","non-sig"
"39","cg20677962",0.736524926800188,-0.121755861873597,"cg20677962","Non-overlapped","non-sig"
"40","cg06402284",0.333452531973533,0.34271697814751,"cg06402284","Non-overlapped","non-sig"
"41","cg24699430",0.842830377407266,-0.0739815354286773,"cg24699430","Non-overlapped","non-sig"
"42","cg01551879",0.995718722603492,0.00370594551742701,"cg01551879","Non-overlapped","non-sig"
"43","cg22394869",0.659138626688783,-0.136511303383093,"cg22394869","Non-overlapped","non-sig"
"44","cg02550592",0.820344311902674,-0.167528314818906,"cg02550592","Non-overlapped","non-sig"
"45","cg03213877",0.969064600896633,-0.0247624399279224,"cg03213877","Non-overlapped","non-sig"
"46","cg23803172",0.941163107522789,-0.0296024442873811,"cg23803172","Non-overlapped","non-sig"
